jahr;name;beschreibung;zahl;mh;daten;land;lat;lon;fehler;url;bild1;bild2;bild3;Strasse ;PLZ ;Ort;Anlagentyp
2002;Thermalsee Rogner Bad Blumau;Thermalsee;637;m³/h;637 m³/h;AT;47.0833;16.0167;;;;;;;;;
2002;Gasthof Hochegger, Klippitzt.;Hotel Bad;73;m³/h;73 m³/h;AT;46.9425;14.645;;;;;;;;;
2002;Thermenhotel Paierl, Bad Waltersdorf;HB;108;m³/h;108 m³/h;AT;47.0664;16.0235;;;;;;;;;
2002;Hotel Allmer, Fam. Pfeifer, Bad Gleichenberg;HB;41;m³/h;41 m³/h;AT;46.8703;15.8983;;;;;;;;;
2003;Mistelbach;HB;60;m³/h;60 m³/h;AT;48.5706;16.5764;;;;;;;;;
2003;Waidhofen / Ybbs;HB;40;m³/h;40 m³/h;AT;47.9572;14.7686;;;;;;;;;
2003;Rabensburg;FB;390;m³/h;390 m³/h;AT;48.0167;15.4167;;;;;;;;;
2003;Leopoldskron;FB;1010;m³/h;1010 m³/h;AT;47.7861;13.0386;;;;;;;;;
2003;Tulln;Therapiebecken ;30;m³/h;30 m³/h;AT;48.3311;16.0536;;;;;;;;;
2003;Holmes Place Salzburg;HB;198;m³/h;198 m³/h;AT;47.8095;13.055;;;;;;;;;
2003;Loipersbach;FB Kinderbecken;25;m³/h;25 m³/h;AT;47.7167;16.4333;;;;;;;;;
2003;Ferienpark St. Lorenzen;HB;90;m³/h;90 m³/h;AT;47.267;14.466;;;;;;;;;
2003;Tiergarten Schönbrunn;Regenwaldhaus;;; ;AT;48.1763;16.3049;;;;;;;;;
2003;Kurzentrum Bad Sauerbrunn;HB;175;m³/h;175 m³/h;AT;47.7219;16.33;;;;;;;;;
2003;Schloßpark Fortuna;HB;80;m³/h;80 m³/h;AT;48.162616416378164;16.32180045499887;;;;;;;;;
2003;Elixia Wien;HB;155;m³/h;155 m³/h;AT;48.2517;16.4303;;;;;;;;;
